Ref,Val,Package,PosX,PosY,Rot,Side
"BT1","4.2V-3V","BatteryHolder_Keystone_1042_1x18650",6.348425,-5.100000,0.000000,top
"C1","1e-6","C_0201_0603Metric",7.600000,-2.800000,0.000000,top
"C2","22u","C_0805_2012Metric",5.900000,-3.100000,0.000000,top
"C3","0.1u","C_0201_0603Metric",5.700000,-3.100000,90.000000,top
"C4","0.1μF","C_0201_0603Metric",5.586417,-3.600000,0.000000,top
"D1","2V","LED_0805_2012Metric",6.800000,-3.200000,90.000000,top
"D2","2V","LED_0805_2012Metric",7.300000,-2.800000,0.000000,top
"D3","1N5819","D_SOD-323",6.700000,-2.900000,0.000000,top
"D4","DIODE","LED_0805_2012Metric",5.400000,-3.800000,0.000000,top
"EEPROM1","AT24C256C-SSHL-T","EEPROM",7.100000,-3.200000,-90.000000,top
"FTDI(UART)1","CH340C","SOIC127P600X180-16N",5.100000,-3.100000,90.000000,top
"J1","Conn_01x33_Female","PinHeader_1x33_P2.54mm_Vertical",7.900000,-2.000000,-90.000000,top
"J2","Conn_01x33_Female","PinSocket_1x33_P2.54mm_Vertical",7.900000,-2.400000,-90.000000,top
"J3","Conn_01x33_Female","PinSocket_1x33_P2.54mm_Vertical",7.900000,-4.000000,-90.000000,top
"J4","Conn_01x33_Female","PinHeader_1x33_P2.54mm_Vertical",7.900000,-4.400000,-90.000000,top
"J5","USB_B_Micro","USB_Micro-B_Amphenol_10103594-0001LF_Horizontal",4.569488,-3.598031,90.000000,top
"L1","MLP2012V4R7MT0S1","L_0805_2012Metric",7.400000,-3.200000,180.000000,top
"LDR1","10K - 0.2M","R_0201_0603Metric",6.300000,-3.800000,180.000000,top
"LDR2","10k - 0.2M","R_0201_0603Metric",6.400000,-2.600000,0.000000,top
"LED1","2V","LED_0805_2012Metric",5.436909,-3.000000,0.000000,top
"Q1","2N2222A","TO-92",7.100000,-3.700000,90.000000,top
"R1","1800","R_0201_0603Metric",7.400000,-3.000000,0.000000,top
"R2","100ohms","R_0201_0603Metric",7.400000,-3.100000,180.000000,top
"R3","100ohms","R_0201_0603Metric",6.900000,-3.000000,180.000000,top
"R4","100ohms","R_0201_0603Metric",6.900000,-3.500000,90.000000,top
"R5","1200","R_0201_0603Metric",7.500000,-2.800000,-90.000000,top
"R6","110k","R_0201_0603Metric",6.100000,-2.900000,0.000000,top
"R7","15k","R_0201_0603Metric",6.000000,-2.700000,90.000000,top
"R8","10K","R_0201_0603Metric",5.800000,-2.900000,0.000000,top
"R9","10K","R_0201_0603Metric",5.500000,-2.600000,0.000000,top
"R10","10k","R_0201_0603Metric",5.600000,-2.868898,180.000000,top
"R11","10k","R_0201_0603Metric",5.700000,-2.700000,180.000000,top
"R12","10k","R_0201_0603Metric",5.000000,-2.713583,-90.000000,top
"R13","10k","R_0201_0603Metric",5.587402,-3.000000,0.000000,top
"R14","10K","R_0201_0603Metric",5.786417,-3.600000,0.000000,top
"R15","1K","R_0201_0603Metric",5.486417,-3.600000,0.000000,top
"R16","1K","R_0201_0603Metric",5.400000,-3.200000,0.000000,top
"R17","1K","R_0201_0603Metric",5.390945,-3.100000,0.000000,top
"R18","4K7","R_0201_0603Metric",5.686417,-3.600000,0.000000,top
"R19","0","R_0201_0603Metric",5.286417,-3.600000,0.000000,top
"R20","0","R_0201_0603Metric",5.386417,-3.600000,0.000000,top
"SW1","C13828","SW_1825910-6-4",6.400000,-3.056102,180.000000,top
"SW2","C13828","SW_1825910-6-4",6.400000,-3.356102,180.000000,top
"TSensor","LM75B","SOIC127P600X175-8N",5.258661,-2.686417,90.000000,top
"U1","TP4054","SOT-23-5",7.100000,-2.900000,0.000000,top
"U2","MT3608L","SOT-23-6",7.400000,-3.400000,0.000000,top
