"Source:","C:\Users\USER\Desktop\eee3088f-group-18-project\PCB\main\main.kicad_sch"
"Date:","2022/04/08 18:45:28"
"Tool:","Eeschema (6.0.2)"
"Generator:","C:\Program Files\KiCad\6.0\bin\scripting\plugins/bom_csv_grouped_by_value.py"
"Component Count:","51"

"Individual Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","LCSC","Populate","Price","Spice_Netlist_Enabled","Spice_Primitive"
"","","BT1","4.2V-3V","Device:Battery","Battery:BatteryHolder_Keystone_1042_1x18650","~","","DNP","","",""
"","","C1","1e-6","Device:C","Capacitor_SMD:C_0201_0603Metric","~","C15849","P","0.0055","",""
"","","C2","22u","Device:C_Small","Capacitor_SMD:C_0805_2012Metric","https://datasheet.lcsc.com/lcsc/1811151152_Samsung-Electro-Mechanics-CL21A226MAQNNNE_C45783.pdf","C45783","P","0.0361","",""
"","","C3","0.1u","Device:C","Capacitor_SMD:C_0201_0603Metric","~","C141382","P","0.0032","",""
"","","C4","0.1μF","Device:C_Small","Capacitor_SMD:C_0201_0603Metric","https://datasheet.lcsc.com/lcsc/1809291616_TORCH-CT41-0603-2X1-25V-0-1-F-K-N_C139738.pdf","C141382","P","0.0032","",""
"","","D1","2V","Device:LED","LED_SMD:LED_0805_2012Metric","~https://datasheet.lcsc.com/lcsc/2008201032_Foshan-NationStar-Optoelectronics-NCD0805R1_C84256.pdf","C84256","P","0.0136","",""
"","","D2","2V","Device:LED","LED_SMD:LED_0805_2012Metric","~","C84256","P","0.0136","",""
"","","D3","1N5819","Diode:1N5819","Diode_SMD:D_SOD-323","https://datasheet.lcsc.com/lcsc/1810202112_Guangdong-Hottech-1N5819WS_C191023.pdf","C191023","P","0.0279","",""
"","","D4","DIODE","Simulation_SPICE:DIODE","LED_SMD:LED_0805_2012Metric","https://datasheet.lcsc.com/lcsc/2105061432_MDD-Microdiode-Electronics--SS14_C2480.pdf","C2480","P","0.0179","Y","D"
"","","EEPROM1","AT24C256C-SSHL-T","Memory_EEPROM:CAT24C256","SOIC127P600X175-8N:EEPROM","https://www.onsemi.cn/PowerSolutions/document/CAT24C256-D.PDF","C6482","P","1.4287","",""
"","","FTDI(UART)1","CH340C","Interface_USB:CH340C","CH340C:SOIC127P600X180-16N","https://datasheet.lcsc.com/szlcsc/Jiangsu-Qin-Heng-CH340C_C84681.pdf","C84681","P","0.5589","Center","Center"
"","","J1","Conn_01x33_Female","Connector:Conn_01x33_Female","Connector_PinHeader_2.54mm:PinHeader_1x33_P2.54mm_Vertical","~","","DNP","0","",""
"","","J2","Conn_01x33_Female","Connector:Conn_01x33_Female","Connector_PinSocket_2.54mm:PinSocket_1x33_P2.54mm_Vertical","~","","DNP","0","",""
"","","J3","Conn_01x33_Female","Connector:Conn_01x33_Female","Connector_PinSocket_2.54mm:PinSocket_1x33_P2.54mm_Vertical","~","","DNP","0","",""
"","","J4","Conn_01x33_Female","Connector:Conn_01x33_Female","Connector_PinHeader_2.54mm:PinHeader_1x33_P2.54mm_Vertical","~","","DNP","0","",""
"","","J5","USB_B_Micro","Connector:USB_B_Micro","Connector_USB:USB_Micro-B_Amphenol_10103594-0001LF_Horizontal","~","C404969","P","0.047","",""
"","","L1","MLP2012V4R7MT0S1","Custom:MLP2012V4R7MT0S1","3088HAT:INDC2012X87N","https://datasheet.lcsc.com/lcsc/1912111437_TDK-MLP2012V4R7MT0S1_C383376.pdf","C383376","P","0.0425","",""
"","","LDR1","10K - 0.2M","Device:R_Photo","Resistor_SMD:R_0201_0603Metric","~","C779572","P","0.0503","",""
"","","LDR2","10k - 0.2M","Device:R_Photo","Resistor_SMD:R_0201_0603Metric","~","C779572","P","0.0503","",""
"","","LED1","2V","Device:LED","LED_SMD:LED_0805_2012Metric","~","C84256","P","0.0136","",""
"","","Q1","2N2222A","Transistor_BJT:2N2219","Package_TO_SOT_THT:TO-92","http://www.onsemi.com/pub_link/Collateral/2N2219-D.PDF","C118536","P","0.0214","",""
"","","R1","1800","Device:R_Small_US","Resistor_SMD:R_0201_0603Metric","~","C4177","P","0.0013","",""
"","","R2","100ohms","Device:R_Small_US","Resistor_SMD:R_0201_0603Metric","~","C22775","P","0.0012","",""
"","","R3","100ohms","Device:R_Small_US","Resistor_SMD:R_0201_0603Metric","~","C22775","P","0.0012","",""
"","","R4","100ohms","Device:R_Small_US","Resistor_SMD:R_0201_0603Metric","~","C22775","P","0.0012","",""
"","","R5","1200","Device:R_Small_US","Resistor_SMD:R_0201_0603Metric","~","C22765","P","0.0013","",""
"","","R6","110k","Device:R_US","Resistor_SMD:R_0201_0603Metric","https://datasheet.lcsc.com/lcsc/2110260030_UNI-ROYAL-Uniroyal-Elec-0603WAF1103T5E_C25805.pdf","C25805","P","0.0014","",""
"","","R7","15k","Device:R_US","Resistor_SMD:R_0201_0603Metric","https://datasheet.lcsc.com/lcsc/2110252030_UNI-ROYAL-Uniroyal-Elec-0603WAF1502T5E_C22809.pdf","C22809","P","0.0013","",""
"","","R8","10K","Device:R","Resistor_SMD:R_0201_0603Metric","https://datasheet.lcsc.com/lcsc/2110260030_UNI-ROYAL-Uniroyal-Elec-0603WAF1002T5E_C25804.pdf","C25804","P","0.0012","",""
"","","R9","10K","Device:R","Resistor_SMD:R_0201_0603Metric","https://datasheet.lcsc.com/lcsc/2110260030_UNI-ROYAL-Uniroyal-Elec-0603WAF1002T5E_C25804.pdf","C25804","P","0.0012","",""
"","","R10","10k","Device:R","Resistor_SMD:R_0201_0603Metric","https://datasheet.lcsc.com/lcsc/2110260030_UNI-ROYAL-Uniroyal-Elec-0603WAF1002T5E_C25804.pdf","C25804","P","0.0012","",""
"","","R11","10k","Device:R","Resistor_SMD:R_0201_0603Metric","https://datasheet.lcsc.com/lcsc/2110260030_UNI-ROYAL-Uniroyal-Elec-0603WAF1002T5E_C25804.pdf","C25804","P","0.0012","",""
"","","R12","10k","Device:R","Resistor_SMD:R_0201_0603Metric","https://datasheet.lcsc.com/lcsc/2110260030_UNI-ROYAL-Uniroyal-Elec-0603WAF1002T5E_C25804.pdf","C25804","P","0.0012","",""
"","","R13","10k","Device:R","Resistor_SMD:R_0201_0603Metric","https://datasheet.lcsc.com/lcsc/2110260030_UNI-ROYAL-Uniroyal-Elec-0603WAF1002T5E_C25804.pdf","C25804","P","0.0012","",""
"","","R14","10K","Device:R_Small_US","Resistor_SMD:R_0201_0603Metric","https://datasheet.lcsc.com/lcsc/2110260030_UNI-ROYAL-Uniroyal-Elec-0603WAF1002T5E_C25804.pdf","C25804","P","0.0012","",""
"","","R15","1K","Device:R_Small_US","Resistor_SMD:R_0201_0603Metric","https://datasheet.lcsc.com/lcsc/2110252030_UNI-ROYAL-Uniroyal-Elec-0603WAF1001T5E_C21190.pdf","C21190","P","0.0012","",""
"","","R16","1K","Device:R_Small_US","Resistor_SMD:R_0201_0603Metric","https://datasheet.lcsc.com/lcsc/2110252030_UNI-ROYAL-Uniroyal-Elec-0603WAF1001T5E_C21190.pdf","C21190","P","0.0012","",""
"","","R17","1K","Device:R_Small_US","Resistor_SMD:R_0201_0603Metric","https://datasheet.lcsc.com/lcsc/2110252030_UNI-ROYAL-Uniroyal-Elec-0603WAF1001T5E_C21190.pdf","C21190","P","0.0012","",""
"","","R18","4K7","Device:R_Small_US","Resistor_SMD:R_0201_0603Metric","https://datasheet.lcsc.com/lcsc/2110252130_UNI-ROYAL-Uniroyal-Elec-0603WAF4701T5E_C23162.pdf","C23162","P","0.0012","",""
"","","R19","0","Device:R_Small_US","Resistor_SMD:R_0201_0603Metric","https://datasheet.lcsc.com/lcsc/2110252030_UNI-ROYAL-Uniroyal-Elec-0603WAF0000T5E_C21189.pdf","C21189","P","0.0012","",""
"","","R20","0","Device:R_Small_US","Resistor_SMD:R_0201_0603Metric","https://datasheet.lcsc.com/lcsc/2110252030_UNI-ROYAL-Uniroyal-Elec-0603WAF0000T5E_C21189.pdf","C21189","P","0.0012","",""
"","","SW1","C13828","Switch:SW_Push_Open","1825910-6:SW_1825910-6-4","https://datasheet.lcsc.com/szlcsc/1912111437_Dongguan-Guangzhu-Industrial-C13828_C13828.pdf","C13828","P","0.0394","",""
