Comment,Designator,Footprint,LCSC
2N2222A,Q1,TO-92,C118536
C13828,"SW1,SW2",SW_1825910-6-4,C13828
0.1u,"C3,C4",C_0201_0603Metric,C141382
1e-6,C1,C_0201_0603Metric,C15849
1N5819,D3,D_SOD-323,C191023
0,"R19,R20",R_0201_0603Metric,C21189
1K,"R15,R16,R17",R_0201_0603Metric,C21190
1200,R5,R_0201_0603Metric,C22765
100ohms,"R2,R3,R4",R_0201_0603Metric,C22775
15k,R7,R_0201_0603Metric,C22809
4K7,R18,R_0201_0603Metric,C23162
DIODE,D4,LED_0805_2012Metric,C2480
10k,"R10,R11,R12,R13,R14,R8,R9",R_0201_0603Metric,C25804
110k,R6,R_0201_0603Metric,C25805
MT3608L,U2,SOT-23-6,C2932326
TP4054,U1,SOT-23-5,C32574
MLP2012V4R7MT0S1,L1,L_0805_2012Metric,C383376
USB_B_Micro,J5,USB_Micro-B_Amphenol_10103594-0001LF_Horizontal,C404969
1800,R1,R_0201_0603Metric,C4177
22u,C2,C_0805_2012Metric,C45783
AT24C256C-SSHL-T,EEPROM1,EEPROM,C6482
10K - 0.2M,"LDR1,LDR2",R_0201_0603Metric,C779572
2V,"D1,D2,LED1",LED_0805_2012Metric,C84256
4.2V-3V,BT1,BatteryHolder_Keystone_1042_1x18650,
Conn_01x33_Female,J2,PinSocket_1x33_P2.54mm_Vertical,
Conn_01x33_Female,J1,PinHeader_1x33_P2.54mm_Vertical,
Conn_01x33_Female,J4,PinHeader_1x33_P2.54mm_Vertical,
Conn_01x33_Female,J3,PinSocket_1x33_P2.54mm_Vertical,
