Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
BT1,4.2V-3V,BatteryHolder_Keystone_1042_1x18650,161.25,-129.54,0.0,top
C1,1e-6,C_0201_0603Metric,193.04,-71.12,0.0,top
C2,22u,C_0805_2012Metric,149.86,-78.74,0.0,top
C3,0.1u,C_0201_0603Metric,144.78,-78.74,90.0,top
C4,0.1μF,C_0201_0603Metric,141.895,-91.44,0.0,top
D1,2V,LED_0805_2012Metric,172.72,-81.28,90.0,top
D2,2V,LED_0805_2012Metric,185.42,-71.12,0.0,top
D3,1N5819,D_SOD-323,170.18,-73.66,0.0,top
D4,DIODE,LED_0805_2012Metric,137.16,-96.52,0.0,top
EEPROM1,AT24C256C-SSHL-T,EEPROM,180.34,-81.28,-90.0,top
J1,Conn_01x33_Female,PinHeader_1x33_P2.54mm_Vertical,200.66,-50.8,-90.0,top
J2,Conn_01x33_Female,PinSocket_1x33_P2.54mm_Vertical,200.66,-60.96,-90.0,top
J3,Conn_01x33_Female,PinSocket_1x33_P2.54mm_Vertical,200.66,-101.6,-90.0,top
J4,Conn_01x33_Female,PinHeader_1x33_P2.54mm_Vertical,200.66,-111.76,-90.0,top
J5,USB_B_Micro,USB_Micro-B_Amphenol_10103594-0001LF_Horizontal,116.065,-91.39,90.0,top
L1,MLP2012V4R7MT0S1,L_0805_2012Metric,187.96,-81.28,180.0,top
LDR1,10K - 0.2M,R_0201_0603Metric,160.02,-96.52,180.0,top
LDR2,10k - 0.2M,R_0201_0603Metric,162.56,-66.04,0.0,top
LED1,2V,LED_0805_2012Metric,138.0975,-76.2,0.0,top
Q1,2N2222A,TO-92,180.34,-93.98,90.0,top
R1,1800,R_0201_0603Metric,187.96,-76.2,0.0,top
R2,100ohms,R_0201_0603Metric,187.96,-78.74,180.0,top
R3,100ohms,R_0201_0603Metric,175.26,-76.2,180.0,top
R4,100ohms,R_0201_0603Metric,175.26,-88.9,90.0,top
R5,1200,R_0201_0603Metric,190.5,-71.12,-90.0,top
R6,110k,R_0201_0603Metric,154.94,-73.66,0.0,top
R7,15k,R_0201_0603Metric,152.4,-68.58,90.0,top
R8,10K,R_0201_0603Metric,147.32,-73.66,0.0,top
R9,10K,R_0201_0603Metric,139.7,-66.04,0.0,top
R10,10k,R_0201_0603Metric,142.24,-72.87,180.0,top
R11,10k,R_0201_0603Metric,144.78,-68.58,180.0,top
R12,10k,R_0201_0603Metric,127.0,-68.925,-90.0,top
R13,10k,R_0201_0603Metric,141.92,-76.2,0.0,top
R14,10K,R_0201_0603Metric,146.975,-91.44,0.0,top
R15,1K,R_0201_0603Metric,139.355,-91.44,0.0,top
R16,1K,R_0201_0603Metric,137.16,-81.28,0.0,top
R17,1K,R_0201_0603Metric,136.93,-78.74,0.0,top
R18,4K7,R_0201_0603Metric,144.435,-91.44,0.0,top
R19,0,R_0201_0603Metric,134.275,-91.44,0.0,top
R20,0,R_0201_0603Metric,136.815,-91.44,0.0,top
SW1,C13828,SW_1825910-6-4,162.56,-77.625,180.0,top
SW2,C13828,SW_1825910-6-4,162.56,-85.245,180.0,top
U1,TP4054,SOT-23-5,180.34,-73.66,0.0,top
U2,MT3608L,SOT-23-6,187.96,-86.36,0.0,top
